Project Name,Name and Location,Latitude,Longitude,Project Type,Borough,Opening Date,Year,Image link,Body Text
Hamilton Fish Pool and Bathhouse,"Hamilton Fish Pool and Bathhouse,Manhattan, NYC",-73.9814625,40.7199859,Pool,Manhattan,6/27/0193,1936,https://www.nycgovparks.org/photo_gallery/full_size/9847.jpg,Hamilton Fish Pool and Bathhouse  Hamilton Fish Pool and Bathhouse  Hamilton Fish Pool and Bathhouse  
Thomas Jefferson Pool and Bathhouse,"Thomas Jefferson Pool and Bathhouse,Manhattan, NYC",-73.9362593,40.7934292,Pool,Manhattan,6/24/36,1936,http://res.cloudinary.com/mommy-nearest/image/upload/v1403266774/aksuki38ylnkddu1nzus.jpg,Thomas Jefferson Pool and Bathhouse  Thomas Jefferson Pool and Bathhouse  Thomas Jefferson Pool and Bathhouse
Astoria Pool and Play Center,"Astoria Pool and Play Center,Queens, NYC",-73.9226516,40.7788082,Pool,Queens,7/2/36,1936,https://c1.staticflickr.com/5/4136/4799105156_27bf1f0902_b.jpg,Astoria Pool and Play Center  Astoria Pool and Play Center  Astoria Pool and Play Center
Joseph H. Lyons Pool,"Joseph H. Lyons Pool,Staten Island, NYC",-74.0743772,40.6375676,Pool,Staten Island,7/7/36,1936,https://www.nycgovparks.org/photo_gallery/full_size/18378.jpg,Joseph H. Lyons Pool  Joseph H. Lyons Pool  Joseph H. Lyons Pool
Highbridge Pool and Bathhouse,"Highbridge Pool and Bathhouse,Manhattan, NYC",-73.9329638,40.8446296,Pool,Manhattan,7/14/36,1936,https://www.nycgovparks.org/photo_gallery/full_size/18308.jpg,Highbridge Pool and Bathhouse  Highbridge Pool and Bathhouse  Highbridge Pool and Bathhouse
Sunset Pool,"Sunset Pool,Brooklyn, NYC",-74.0025695,40.6471873,Pool,Brooklyn,7/20/36,1936,http://www.nycgo.com/images/venues/6419/sunset-park-pool-marley-white-078__large.jpg,Sunset Pool  Sunset Pool  Sunset Pool  Sunset Pool  Sunset Pool  Sunset Pool 
Crotona Pool,"Crotona Pool,Bronx, NYC",-73.898056,40.839942,Pool,Bronx,7/24/36,1936,https://c1.staticflickr.com/8/7252/7864243746_012229912a_b.jpg,Crotona Pool  Crotona Pool  Crotona Pool  Crotona Pool  Crotona Pool  Crotona Pool
McCarren Pool,"McCarren Pool,Brooklyn, NYC",-73.9554315,40.7208944,Pool,Brooklyn,7/31/36,1936,http://www.rogersmarvel.com/projects/McCarren-Pool/Rogers-Marvel-McCarren-Pool-10.jpg,McCarren Pool  McCarren Pool  McCarren Pool  McCarren Pool  McCarren Pool  McCarren Pool  
Betsy Head Pool,"Betsy Head Pool,Brooklyn, NYC",-73.9126551,40.6628587,Pool,Brooklyn,8/7/36,1936,https://www.nycgovparks.org/photo_gallery/full_size/22437.jpg,Betsy Head Pool  Betsy Head Pool  Betsy Head Pool  Betsy Head Pool  Betsy Head Pool  Betsy Head Pool  
Jackie Robinson Pool and Recreation Center,"Jackie Robinson Pool and Recreation Center,Manhattan, NYC",-73.942687,40.8244188,Pool,Manhattan,8/8/36,1936,https://www.nycgovparks.org/photo_gallery/full_size/9718.jpg,Jackie Robinson Pool and Recreation Center Jackie Robinson Pool and Recreation Center Jackie Robinson Pool and Recreation Center Jackie Robinson Pool and Recreation Center
