Project Name,Name and Location,Latitude,Longitude,Project Type,Borough,Opening Date,Year,Image link,Body Text,Link Info
New York Aquarium,"New York Aquarium,Brooklyn, NYC",-73.9752227,40.5743712,Aquarium,Brooklyn,,1957,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/New_York_Aquarium_by_David_Shankbone.jpg/1200px-New_York_Aquarium_by_David_Shankbone.jpg,"The New York Aquarium is the oldest continually operating aquarium in the United States, having opened in Castle Garden in Battery Park, Manhattan in 1896. Since 1957, it has been located on the boardwalk in Coney Island, Brooklyn.",https://en.wikipedia.org/wiki/New_York_Aquarium
Jones Beach State Park,"Jones Beach State Park,Nassau County, NYC",-73.508086,40.596327,Beach,Nassau County,8/4/2029,1929,https://paththroughhistory.iloveny.com/includes/content/images/listings/LI_2012_1390.jpg,"Jones Beach State Park (colloquially, ""Jones Beach"") is a state park of the U.S. state of New York. It is in southern Nassau County,[6] in the hamlet of Wantagh, on Jones Beach Island, a barrier island linked to Long Island by the Meadowbrook State Parkway, Wantagh State Parkway, and Ocean Parkway.

The park – 6.5 miles (10.5 km) in length[1] – is renowned for its beaches (which, excepting the beach on Zachs Bay,[7][8] face the open Atlantic Ocean) and furnishes one of the most popular summer recreational locations for the New York metropolitan area. It is the most popular and heavily visited beach on the East Coast, with an estimated six million visitors per year.[4][9]

Northwell Health at Jones Beach Theater, an outdoor arena in the park, is a popular musical and concert venue. The park also includes a two-mile (3.2 km) long boardwalk. It once featured dining and catering facilities that were popular sites for private parties and weddings; these have been shut down.[9]

Jones Beach is named after Major Thomas Jones, a major in the Queens County militia in the 1600s who established a whaling station on the outer beach near the site of the present park.[10][11]",https://en.wikipedia.org/wiki/Jones_Beach_State_Park
Pelham Bay Park,"Pelham Bay Park,Bronx, NYC",-73.8210182,40.8505689,Beach,Bronx,,1938,https://www.nycgovparks.org/photo_gallery/full_size/17694.jpg,"Pelham Bay Park is a public park located in the northeast corner of the New York City borough of the Bronx and extending partially into Westchester County. It is, at 2,772 acres, the largest public park in New York City.",https://www.nycgovparks.org/parks/pelham-bay-park/facilities/beaches
Orchard Beach,"Orchard Beach,Bronx, NYC",-73.7926456,40.8629619,Beach,Bronx,7/25/1936,1936,https://livingnewdeal.org/wp-content/uploads/2012/11/ob100x-1024x776.jpg,"Orchard Beach, Bronx's sole public beach, was proclaimed ""The Riviera of New York"" when it was created in the 1930s. The 115-acre, 1.1-mile-long beach contains a hexagonal-block promenade, a central pavilion, snack bars, food and souvenir carts, two playgrounds, two picnic areas, a large parking lot, and 26 courts for basketball, volleyball, and handball. Changing areas and showers are available.",https://www.nycgovparks.org/parks/pelham-bay-park/facilities/beaches
Manhattan Beach,"Manhattan Beach,Brooklyn, NYC",-73.9389213,40.578158,Beach,Brooklyn,,1955,http://upload.wikimedia.org/wikipedia/commons/2/2c/Manhattan_Beach_beach_jeh.JPG,"This beach on Brooklyn's southern tip is a popular summertime destination for people from all over New York City. As the weather heats up, families pack picnic baskets and come out to barbeque, loll on the sand, and swim in the waves. Bookended by playgrounds, and with two large baseball diamonds on its eastern border, as well as tennis, volleyball, basketball, and handball, this park has plenty of room for all types of active outdoor fun.",https://www.nycgovparks.org/parks/manhattan-beach-park
Coney Island,"Coney Island,Brooklyn, NYC",-73.9707016,40.5755438,Beach,Brooklyn,,1940,https://www.nycgovparks.org/photo_gallery/full_size/17816.jpg,"Coney Island is a peninsular residential neighborhood, beach, and leisure/entertainment destination on the Coney Island Channel, which is part of the Lower Bay in the southwestern part of the borough of Brooklyn in New York City.",https://en.wikipedia.org/wiki/Coney_Island
Jamaica Bay and Marine Park,"Jamaica Bay and Marine Park,Queens, NYC",-73.9330429,40.6119911,Beach,Queens,,1924,https://grist.files.wordpress.com/2016/08/jamaicabaysunset.jpg,"As Brooklyn's largest park, Marine Park has plenty of room to serve a lot of needs.

Environmentally, it consists of 530 acres of grassland and precious salt marsh, protected as a Forever Wild preserve. The Urban Park Rangers present bushels of educational and fun activities in its Salt Marsh Nature Center each week, and interested, independent visitors can wander along the Salt Marsh Nature Trail to observe unique regional flora and fauna.",https://www.nycgovparks.org/parks/marine-park
Jacob Riis Park,"Jacob Riis Park,Queens, NYC",-73.8739961,40.565759,Beach,Queens,,1936,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Jacob_Riis_Park.jpg/1200px-Jacob_Riis_Park.jpg,"Jacob Riis Park in the New York City borough of Queens, is part of the Jamaica Bay Unit of the Gateway National Recreation Area, and is managed by the National Park Service.",https://en.wikipedia.org/wiki/Jacob_Riis_Park
Rockaway Improvement,"Rockaway Improvement,Queens, NYC",-73.8366574,40.5797168,Beach,Queens,,1938,https://www.nycgovparks.org/photo_gallery/full_size/21634.jpg,"Improvements in transportation, under the direction of Parks Commissioner Robert Moses in the 1930’s, led to the growth of Rockaway. The completion of two bridges, the Marine Parkway Bridge in 1937 and the Cross Bay Bridge in 1939, connected Rockaway to mainland Queens and Brooklyn. Innovations in railroad service and the development of the elevated subway allowed popular access to the peninsula. Subway access stimulated Rockaway’s transition from a vacation area to neighborhoods with permanent residents.

This section of boardwalk, named Ocean Promenade, extends from Beach 110th to Beach 126th Streets and is bounded by the Atlantic Ocean and the boardwalk itself. The width of the beach averages 500 feet in this area. The boardwalk, measuring 30 feet in diameter, runs through the neighborhood of Rockaway Park. Parks acquired the ocean front area in 1911, as a gift from the Rockaway Park Improvement Company. Previously, Ocean Promenade was known as Triton Avenue. Between 1922 and 1923, the construction of the boardwalk took place and replaced Triton Avenue. The promenade continues to be considered a city street and ends at Beach 126th Street.",https://www.nycgovparks.org/facility/beaches/beach-recovery
South Beach,"South Beach,Staten Island, NYC",-74.0668076,40.5903824,Beach,Staten Island,,1955,http://i589.photobucket.com/albums/ss333/anthonysiny/Boardwald-2.jpg,"South Beach is a neighborhood on the East Shore of Staten Island, one of the five boroughs of New York City, USA. It is situated immediately to the south of the Staten Island side of the Verrazano Narrows Bridge.","https://en.wikipedia.org/wiki/South_Beach,_Staten_Island"
