Project Name,Name and Location,Latitude,Longitude,Project Type,Borough,Opening Date,Year 
Hamilton Fish Pool and Bathhouse,"Hamilton Fish Pool and Bathhouse,Manhattan, NYC",-73.9814625,40.7199859,Pool,Manhattan,06/27/0193,1936
Thomas Jefferson Pool and Bathhouse,"Thomas Jefferson Pool and Bathhouse,Manhattan, NYC",-73.9362593,40.7934292,Pool,Manhattan,6/24/36,1936
Astoria Pool and Play Center,"Astoria Pool and Play Center,Queens, NYC",-73.9226516,40.7788082,Pool,Queens,7/2/36,1936
Joseph H. Lyons Pool,"Joseph H. Lyons Pool,Staten Island, NYC",-74.0743772,40.6375676,Pool,Staten Island,7/7/36,1936
Highbridge Pool and Bathhouse,"Highbridge Pool and Bathhouse,Manhattan, NYC",-73.9329638,40.8446296,Pool,Manhattan,7/14/36,1936
Sunset Pool,"Sunset Pool,Brooklyn, NYC",-74.0025695,40.6471873,Pool,Brooklyn,7/20/36,1936
Crotona Pool,"Crotona Pool,Bronx, NYC",-73.898056,40.839942,Pool,Bronx,7/24/36,1936
McCarren Pool,"McCarren Pool,Brooklyn, NYC",-73.9554315,40.7208944,Pool,Brooklyn,7/31/36,1936
Betsy Head Pool,"Betsy Head Pool,Brooklyn, NYC",-73.9126551,40.6628587,Pool,Brooklyn,8/7/36,1936
Jackie Robinson Pool and Recreation Center,"Jackie Robinson Pool and Recreation Center,Manhattan, NYC",-73.942687,40.8244188,Pool,Manhattan,8/8/36,1936
Sol Goldman Pool,"Sol Goldman Pool,Brooklyn, NYC",-74.0038464,40.672699,Pool,Brooklyn,8/17/36,1936
Asher Levy Recreation Center,"Asher Levy Recreation Center,Manhattan, NYC",-73.9756582,40.7361601,Pool,Manhattan,,1938
Carmine Street Pool and the Tony Dapolito Recreation Center,"Carmine Street Pool and the Tony Dapolito Recreation Center,Manhattan, NYC",-74.0054061,40.7296168,Pool,Manhattan,,1939
John Jay Pool and Bathhouse,"John Jay Pool and Bathhouse,Manhattan, NYC",-73.9495759,40.7699381,Pool,Manhattan,,1940
Recreation Center 59,"Recreation Center 59,Manhattan, NYC",-73.9886621,40.7714308,Pool,Manhattan,,1943
Flushing Meadow Pool,"Flushing Meadow Pool,Queens, NYC",-73.8376576,40.7517801,Pool,Queens,,1940
Jones Beach State Park,"Jones Beach State Park,Nassau County, NYC",-73.508086,40.596327,Beach,Nassau County,8/4/29,1929
Pelham Bay Park,"Pelham Bay Park,Bronx, NYC",-73.8210182,40.8505689,Beach,Bronx,,1938
Pelham and Split Rock Golf Courses and Clubhouse,"Pelham and Split Rock Golf Courses and Clubhouse,Bronx, NYC",-73.8086361,40.8736833,Golf Course,Bronx,,1936
Orchard Beach,"Orchard Beach,Bronx, NYC",-73.7926456,40.8629619,Beach,Bronx,7/25/36,1936
Manhattan Beach,"Manhattan Beach,Brooklyn, NYC",-73.9389213,40.578158,Beach,Brooklyn,,1955
Coney Island,"Coney Island,Brooklyn, NYC",-73.9707016,40.5755438,Beach,Brooklyn,,1940
New York Aquarium,"New York Aquarium,Brooklyn, NYC",-73.9752227,40.5743712,Aquarium,Brooklyn,,1957
Jamaica Bay and Marine Park,"Jamaica Bay and Marine Park,Queens, NYC",-73.9330429,40.6119911,Beach,Queens,,1924
Jacob Riis Park,"Jacob Riis Park,Queens, NYC",-73.8739961,40.565759,Beach,Queens,,1936
Rockaway Improvement,"Rockaway Improvement,Queens, NYC",-73.8366574,40.5797168,Beach,Queens,,1938
South Beach,"South Beach,Staten Island, NYC",-74.0668076,40.5903824,Beach,Staten Island,,1955
Louis Zimmerman Playground,"Zimmerman Playground, New York",-73.8687372,40.866178,Playground Park,,7/15/34,1934
Ciccarone Playground,"Ciccarone Playground,Bronx, NYC",-73.8866531,40.8560321,Playground Park,Bronx,7/15/34,1934
